Conference,Year,Title,Author,Affiliation
ICLR,2018,Learning to Represent Programs with Graphs,Mahmoud Khademi,Simon Fraser University
ICLR,2018,cGANs with Projection Discriminator,Takeru Miyato,"Preferred Networks, Inc."
ICLR,2018,cGANs with Projection Discriminator,Masanori Koyama,Ritsumeikan University
ICLR,2018,Generative Models of Visually Grounded Imagination,Rama Vedantam,Georgia Institute of Technology
ICLR,2018,Generative Models of Visually Grounded Imagination,Ian Fischer,Google
ICLR,2018,Generative Models of Visually Grounded Imagination,Jonathan Huang,None
ICLR,2018,Generative Models of Visually Grounded Imagination,Kevin P Murphy,Google Research
ICLR,2018,Emergent Translation in Multi-Agent Communication,Jason Lee,University of Southern California
ICLR,2018,Emergent Translation in Multi-Agent Communication,Kyunghyun Cho,New York University
ICLR,2018,Emergent Translation in Multi-Agent Communication,JASON Weston,Facebook AI Research
ICLR,2018,Emergent Translation in Multi-Agent Communication,Douwe Kiela,University of Cambridge
ICLR,2018,Minimal-Entropy Correlation Alignment for Unsupervised Deep Domain Adaptation,Pietro Morerio,Italian Institute of Technology
ICLR,2018,Minimal-Entropy Correlation Alignment for Unsupervised Deep Domain Adaptation,Jacopo Cavazza,Istituto Italiano di Tecnologia
ICLR,2018,Minimal-Entropy Correlation Alignment for Unsupervised Deep Domain Adaptation,Vittorio Murino,Istituto Italiano di Tecnologia
ICLR,2018,An image representation based convolutional network for DNA classification,Bojian Yin,CWI
ICLR,2018,An image representation based convolutional network for DNA classification,Marleen Balvert,CWI
ICLR,2018,An image representation based convolutional network for DNA classification,Davide Zambrano,The BioRobotics Institute of Scuola Superiore Sant'Anna
ICLR,2018,An image representation based convolutional network for DNA classification,Alexander Schoenhuth,Centrum Wiskunde & Informatica
ICLR,2018,An image representation based convolutional network for DNA classification,Sander Bohte,CWI
ICLR,2018,Overcoming Catastrophic Interference using Conceptor-Aided Backpropagation,Owen He,Jacobs University Bremen
ICLR,2018,Overcoming Catastrophic Interference using Conceptor-Aided Backpropagation,Herbert Jaeger,None
ICLR,2018,Deep Sensing: Active Sensing using Multi-directional Recurrent Neural Networks,Jinsung Yoon,"University of California, Los Angeles"
ICLR,2018,Deep Sensing: Active Sensing using Multi-directional Recurrent Neural Networks,William R Zame,"University of California, Los Angeles"
ICLR,2018,Deep Sensing: Active Sensing using Multi-directional Recurrent Neural Networks,Mihaela v Schaar,None
ICLR,2018,Non-Autoregressive Neural Machine Translation,Jiatao Gu,The University of Hong Kong
ICLR,2018,Non-Autoregressive Neural Machine Translation,James Bradbury,Salesforce Research
ICLR,2018,Non-Autoregressive Neural Machine Translation,Caiming Xiong,Salesforce Research
ICLR,2018,Non-Autoregressive Neural Machine Translation,Victor OK Li,University of hong Kong
ICLR,2018,Non-Autoregressive Neural Machine Translation,,None
ICLR,2018,Compressing Word Embeddings via Deep Compositional Code Learning,Raphael Shu,The University of Tokyo
ICLR,2018,Compressing Word Embeddings via Deep Compositional Code Learning,Hideki Nakayama,The University of Tokyo
ICLR,2018,Emergence of grid-like representations by training recurrent neural networks to perform spatial localization,Chris Cueva,Columbia University
ICLR,2018,Emergence of grid-like representations by training recurrent neural networks to perform spatial localization,Xue-Xin Wei,Columbia University
ICLR,2018,FusionNet: Fusing via Fully-aware Attention with Application to Machine Comprehension,Hsin-Yuan Huang,National Taiwan University
ICLR,2018,FusionNet: Fusing via Fully-aware Attention with Application to Machine Comprehension,Chenguang Zhu,Microsoft AI+Research
ICLR,2018,FusionNet: Fusing via Fully-aware Attention with Application to Machine Comprehension,,None
ICLR,2018,FusionNet: Fusing via Fully-aware Attention with Application to Machine Comprehension,Weizhu Chen,Microsoft
ICLR,2018,Depthwise Separable Convolutions for Neural Machine Translation,Lukasz Kaiser,Google
ICLR,2018,Depthwise Separable Convolutions for Neural Machine Translation,Aidan Gomez,"Department of Computer Science, University of Toronto"
ICLR,2018,Depthwise Separable Convolutions for Neural Machine Translation,Francois Chollet,Google
ICLR,2018,Parallelizing Linear Recurrent Neural Nets Over Sequence Length,Eric Martin,Jump Trading
ICLR,2018,Parallelizing Linear Recurrent Neural Nets Over Sequence Length,Chris Cundy,University of Oxford
ICLR,2018,Large scale distributed neural network training through online distillation,Rohan Anil,Google
ICLR,2018,Large scale distributed neural network training through online distillation,Gabriel Pereyra,None
ICLR,2018,Large scale distributed neural network training through online distillation,Alex Tachard Passos,Google Brain
ICLR,2018,Large scale distributed neural network training through online distillation,Robert Ormandi,University of Szeged
ICLR,2018,Large scale distributed neural network training through online distillation,George Dahl,Google Brain
ICLR,2018,Large scale distributed neural network training through online distillation,Geoffrey E Hinton,None
ICLR,2018,Viterbi-based Pruning for Sparse Matrix with Fixed and High Index Compression Ratio,Dongsoo Lee,Samsung Research
ICLR,2018,Viterbi-based Pruning for Sparse Matrix with Fixed and High Index Compression Ratio,Daehyun Ahn,POSTECH
ICLR,2018,Viterbi-based Pruning for Sparse Matrix with Fixed and High Index Compression Ratio,Taesu Kim,POSTECH
ICLR,2018,Viterbi-based Pruning for Sparse Matrix with Fixed and High Index Compression Ratio,Pierce I Chuang,University of Waterloo
ICLR,2018,Viterbi-based Pruning for Sparse Matrix with Fixed and High Index Compression Ratio,Jae-Joon Kim,POSTECH
ICLR,2018,DCN+: Mixed Objective And Deep Residual Coattention for Question Answering,Caiming Xiong,Salesforce Research
ICLR,2018,DCN+: Mixed Objective And Deep Residual Coattention for Question Answering,richard socher,SalesForce.com
ICLR,2018,DCN+: Mixed Objective And Deep Residual Coattention for Question Answering,Victor Zhong,Salesforce Research
ICLR,2018,Enhancing The Reliability of Out-of-distribution Image Detection in Neural Networks,Srikant Srikant,UIUC
ICLR,2018,Enhancing The Reliability of Out-of-distribution Image Detection in Neural Networks,Shiyu Liang,"University of Illinois, Urbana Champaign"
ICLR,2018,Enhancing The Reliability of Out-of-distribution Image Detection in Neural Networks,Yixuan Li,Facebook Research
ICLR,2018,Residual Connections Encourage Iterative Inference,Stanislaw Jastrzebski,Jagiellonian University
ICLR,2018,Residual Connections Encourage Iterative Inference,Devansh Arpit,MILA
ICLR,2018,Residual Connections Encourage Iterative Inference,Nicolas Ballas,Facebook AI Research
ICLR,2018,Residual Connections Encourage Iterative Inference,Vikas Verma,Aalto University
ICLR,2018,Residual Connections Encourage Iterative Inference,Tong Che,Montreal Institute of Learning Algorithms
ICLR,2018,Residual Connections Encourage Iterative Inference,Yoshua Bengio,University of Montreal
ICLR,2018,Towards Synthesizing Complex Programs From Input-Output Examples,Xinyun Chen,UC Berkeley
ICLR,2018,Towards Synthesizing Complex Programs From Input-Output Examples,Chang Liu,"Electrical Engineering & Computer Science Department, University of California Berkeley"
ICLR,2018,Towards Synthesizing Complex Programs From Input-Output Examples,dawn song,uc berkeley
ICLR,2018,"Don't Decay the Learning Rate, Increase the Batch Size",Samuel Smith,Google
ICLR,2018,"Don't Decay the Learning Rate, Increase the Batch Size",Pieter-Jan Kindermans,Google
ICLR,2018,"Don't Decay the Learning Rate, Increase the Batch Size",Chris Ying,Google AI
ICLR,2018,"Don't Decay the Learning Rate, Increase the Batch Size",Quoc V Le,Google
ICLR,2018,Minimax Curriculum Learning: Machine Teaching with Desirable   Difficulties and Scheduled Diversity,Tianyi Zhou,University of Washington
ICLR,2018,Minimax Curriculum Learning: Machine Teaching with Desirable   Difficulties and Scheduled Diversity,Jeff Bilmes,None
ICLR,2018,Multi-Scale Dense Networks for Resource Efficient Image Classification,Gao Huang,Cornell University
ICLR,2018,Multi-Scale Dense Networks for Resource Efficient Image Classification,Danlu Chen,Fudan University
ICLR,2018,Multi-Scale Dense Networks for Resource Efficient Image Classification,Tianhong Li,Tsinghua University
ICLR,2018,Multi-Scale Dense Networks for Resource Efficient Image Classification,Felix Wu,National Taiwan University
ICLR,2018,Multi-Scale Dense Networks for Resource Efficient Image Classification,Laurens van der Maaten,Facebook AI Research
ICLR,2018,Multi-Scale Dense Networks for Resource Efficient Image Classification,Kilian Q Weinberger,Cornell University
ICLR,2018,A Deep Reinforced Model for Abstractive Summarization,Romain Paulus,Salesforce Research
ICLR,2018,A Deep Reinforced Model for Abstractive Summarization,Caiming Xiong,Salesforce Research
ICLR,2018,A Deep Reinforced Model for Abstractive Summarization,richard socher,SalesForce.com
ICLR,2018,Unbiased Online Recurrent Optimization,Corentin Tallec,INRIA
ICLR,2018,Unbiased Online Recurrent Optimization,Yann Ollivier,None
ICLR,2018,Kernel Implicit Variational Inference,Jiaxin Shi,Tsinghua University
ICLR,2018,Kernel Implicit Variational Inference,Shengyang Sun,University of Toronto
ICLR,2018,Kernel Implicit Variational Inference,Jun Zhu,Tsinghua University
ICLR,2018,Generative networks as inverse problems with Scattering transforms,Tomás Angles,"Ecole normale supérieure, CNRS, PSL Research University"
ICLR,2018,Generative networks as inverse problems with Scattering transforms,Stéphane Mallat,None
ICLR,2018,Deep Bayesian Bandits Showdown:  An Empirical Comparison of Bayesian Deep Networks for Thompson Sampling,Carlos Riquelme,Google Brain
ICLR,2018,Deep Bayesian Bandits Showdown:  An Empirical Comparison of Bayesian Deep Networks for Thompson Sampling,George Tucker,Google Brain
ICLR,2018,Deep Bayesian Bandits Showdown:  An Empirical Comparison of Bayesian Deep Networks for Thompson Sampling,Jasper Snoek,Google Brain
ICLR,2018,Large Scale Optimal Transport and Mapping Estimation,Vivien Seguy,Kyoto University
ICLR,2018,Large Scale Optimal Transport and Mapping Estimation,Bharath Bhushan Damodaran,"IRISA, University of South Brittany"
ICLR,2018,Large Scale Optimal Transport and Mapping Estimation,Rémi Flamary,Université Côte d'Azur
ICLR,2018,Large Scale Optimal Transport and Mapping Estimation,Nicolas Courty,None
ICLR,2018,Large Scale Optimal Transport and Mapping Estimation,Antoine Rolet,Kyoto University
ICLR,2018,Large Scale Optimal Transport and Mapping Estimation,Mathieu Blondel,None
ICLR,2018,Backpropagation through the Void: Optimizing control variates for black-box gradient estimation,Will Grathwohl,"Department of Computer Science, University of Toronto"
ICLR,2018,Backpropagation through the Void: Optimizing control variates for black-box gradient estimation,Dami Choi,"Department of Computer Science, University of Toronto"
ICLR,2018,Backpropagation through the Void: Optimizing control variates for black-box gradient estimation,Yuhuai Wu,"Department of Computer Science, University of Toronto"
ICLR,2018,Backpropagation through the Void: Optimizing control variates for black-box gradient estimation,Geoffrey Roeder,University of Toronto
ICLR,2018,Backpropagation through the Void: Optimizing control variates for black-box gradient estimation,David Duvenaud,University of Toronto
ICLR,2018,Activation Maximization Generative Adversarial Nets,Zhiming Zhou,Shanghai Jiao Tong University
ICLR,2018,Activation Maximization Generative Adversarial Nets,Han Cai,Shanghai Jiao Tong University
ICLR,2018,Activation Maximization Generative Adversarial Nets,Shu Rong,Yitu Tech
ICLR,2018,Activation Maximization Generative Adversarial Nets,Yuxuan Song,Shanghai Jiao Tong University
ICLR,2018,Activation Maximization Generative Adversarial Nets,Kan Ren,Shanghai Jiao Tong University
ICLR,2018,Activation Maximization Generative Adversarial Nets,Weinan Zhang Zhang,Shanghai Jiao Tong University
ICLR,2018,Activation Maximization Generative Adversarial Nets,Jun Wang,None
ICLR,2018,Activation Maximization Generative Adversarial Nets,Yong Yu,None
ICLR,2018,Parameter Space Noise for Exploration,Matthias Plappert,OpenAI
ICLR,2018,Parameter Space Noise for Exploration,Rein Houthooft,Ghent University
ICLR,2018,Parameter Space Noise for Exploration,Prafulla Dhariwal,Massachusetts Institute of Technology
ICLR,2018,Parameter Space Noise for Exploration,Szymon Sidor,None
ICLR,2018,Parameter Space Noise for Exploration,Richard Chen,OpenAI
ICLR,2018,Parameter Space Noise for Exploration,Xi Chen,University of California Berkeley
ICLR,2018,Parameter Space Noise for Exploration,Tamim Asfour,None
ICLR,2018,Parameter Space Noise for Exploration,Pieter Abbeel,UC Berkeley / Embodied Intelligence
ICLR,2018,Parameter Space Noise for Exploration,Marcin Andrychowicz,None
ICLR,2018,AmbientGAN: Generative models from lossy measurements,Ashish Bora,University of Texas at Austin
ICLR,2018,AmbientGAN: Generative models from lossy measurements,Eric Price,UT Austin
ICLR,2018,AmbientGAN: Generative models from lossy measurements,Alex Dimakis,UT Austin
ICLR,2018,RESIDUAL LOSS PREDICTION: REINFORCEMENT LEARNING WITH NO INCREMENTAL FEEDBACK,Hal Daumé III,None
ICLR,2018,RESIDUAL LOSS PREDICTION: REINFORCEMENT LEARNING WITH NO INCREMENTAL FEEDBACK,John Langford,None
ICLR,2018,RESIDUAL LOSS PREDICTION: REINFORCEMENT LEARNING WITH NO INCREMENTAL FEEDBACK,Paul Mineiro,None
ICLR,2018,RESIDUAL LOSS PREDICTION: REINFORCEMENT LEARNING WITH NO INCREMENTAL FEEDBACK,Amr Mohamed Nabil Aly Aly Sharaf,"Department of Computer Science, University of Maryland, College Park"
ICLR,2018,Mitigating Adversarial Effects Through Randomization,cihang xie,Johns Hopkins U
ICLR,2018,Mitigating Adversarial Effects Through Randomization,Jianyu Wang,Baidu Research USA
ICLR,2018,Mitigating Adversarial Effects Through Randomization,Zhishuai Zhang,Johns Hopkins University
ICLR,2018,Mitigating Adversarial Effects Through Randomization,Zhou Ren,Snap Inc.
ICLR,2018,Mitigating Adversarial Effects Through Randomization,Alan Yuille,None
ICLR,2018,Understanding Short-Horizon Bias in Stochastic Meta-Optimization,Yuhuai Wu,"Department of Computer Science, University of Toronto"
ICLR,2018,Understanding Short-Horizon Bias in Stochastic Meta-Optimization,Mengye Ren,University of Toronto
ICLR,2018,Understanding Short-Horizon Bias in Stochastic Meta-Optimization,Renjie Liao,"Department of Computer Science, University of Toronto"
ICLR,2018,Understanding Short-Horizon Bias in Stochastic Meta-Optimization,Roger Grosse,University of Toronto and Vector Institute
ICLR,2018,Towards Reverse-Engineering Black-Box Neural Networks,Seong Joon Oh,"PhD Student, MPI-INF, Germany         Intern at Google, MTV"
ICLR,2018,Towards Reverse-Engineering Black-Box Neural Networks,Max Augustin,Max Planck Institute for Informatics
ICLR,2018,Towards Reverse-Engineering Black-Box Neural Networks,Mario Fritz,Max Planck Institute for Informatics
ICLR,2018,Towards Reverse-Engineering Black-Box Neural Networks,Bernt Schiele,TU Darmstadt
ICLR,2018,The High-Dimensional Geometry of Binary Neural Networks,Alex Anderson,"University of California, Berkeley"
ICLR,2018,The High-Dimensional Geometry of Binary Neural Networks,Cory P Berg,"University of California, Berkeley"
ICLR,2018,On the Discrimination-Generalization Tradeoff in GANs,Pengchuan Zhang,Microsoft Research
ICLR,2018,On the Discrimination-Generalization Tradeoff in GANs,Qiang Liu,MIT
ICLR,2018,On the Discrimination-Generalization Tradeoff in GANs,Denny Zhou,Google
ICLR,2018,On the Discrimination-Generalization Tradeoff in GANs,Tao Xu,Lehigh University
ICLR,2018,On the Discrimination-Generalization Tradeoff in GANs,Xiaodong He,Microsoft
ICLR,2018,Learning Latent Representations in Neural Networks for Clustering through Pseudo Supervision and Graph-based Activity Regularization,Ozsel Kilinc,University of Warwick
ICLR,2018,Learning Latent Representations in Neural Networks for Clustering through Pseudo Supervision and Graph-based Activity Regularization,Ismail Uysal,University of South Florida
ICLR,2018,Coulomb GANs: Provably Optimal Nash Equilibria via Potential Fields,Thomas Unterthiner,Johannes Kepler University Linz
ICLR,2018,Coulomb GANs: Provably Optimal Nash Equilibria via Potential Fields,Bernhard Nessler,Johannes Kepler University Linz
ICLR,2018,Coulomb GANs: Provably Optimal Nash Equilibria via Potential Fields,Calvin Seward,JKU Linz // Zalando Research
ICLR,2018,Coulomb GANs: Provably Optimal Nash Equilibria via Potential Fields,Günter Klambauer,None
ICLR,2018,Coulomb GANs: Provably Optimal Nash Equilibria via Potential Fields,Martin Heusel,Johannes Kepler Universität Linz
ICLR,2018,Coulomb GANs: Provably Optimal Nash Equilibria via Potential Fields,Hubert Ramsauer,None
ICLR,2018,Coulomb GANs: Provably Optimal Nash Equilibria via Potential Fields,Sepp Hochreiter,None
ICLR,2018,Learning to Multi-Task by Active Sampling,Sahil Sharma,Google
ICLR,2018,Learning to Multi-Task by Active Sampling,Ashutosh Jha,Indian Institute of Technology Madras
ICLR,2018,Learning to Multi-Task by Active Sampling,Parikshit Hegde,Indian Institute of Technology Madras
ICLR,2018,Learning to Multi-Task by Active Sampling,Balaraman Ravindran,IIT Madras
ICLR,2018,Learning from Between-class Examples for Deep Sound Recognition,Yuji Tokozume,The University of Tokyo
ICLR,2018,Learning from Between-class Examples for Deep Sound Recognition,Yoshitaka Ushiku,University of Tokyo
ICLR,2018,Learning from Between-class Examples for Deep Sound Recognition,Tatsuya Harada,The Univ. of Tokyo
ICLR,2018,Emergent Complexity via Multi-Agent Competition,Trapit Bansal,University of Massachusetts Amherst
ICLR,2018,Emergent Complexity via Multi-Agent Competition,Jakub Pachocki,None
ICLR,2018,Emergent Complexity via Multi-Agent Competition,Szymon Sidor,None
ICLR,2018,Emergent Complexity via Multi-Agent Competition,Ilya Sutskever,OpenAI
ICLR,2018,Emergent Complexity via Multi-Agent Competition,Igor Mordatch,OpenAI
ICLR,2018,DORA The Explorer: Directed Outreaching Reinforcement Action-Selection,Lior Fox,The Hebrew University of Jerusalem
ICLR,2018,DORA The Explorer: Directed Outreaching Reinforcement Action-Selection,Leshem Choshen,HUJI (Hebrew University Jerusalem Israel)
ICLR,2018,DORA The Explorer: Directed Outreaching Reinforcement Action-Selection,Yonatan Loewenstein,The Hebrew University of Jerusalem
ICLR,2018,Polar Transformer Networks,Carlos Esteves,University of Pennsylvania
ICLR,2018,Polar Transformer Networks,Christine Allen-Blanchette,University of Pennsylvania
ICLR,2018,Polar Transformer Networks,Xiaowei Zhou,None
ICLR,2018,Polar Transformer Networks,Kostas Daniilidis,University of Pennsylvania
ICLR,2018,Compositional Obverter Communication Learning from Raw Visual Input,Edward Choi,Georgia Institute of Technology
ICLR,2018,Compositional Obverter Communication Learning from Raw Visual Input,Angeliki Lazaridou,DeepMind
ICLR,2018,Compositional Obverter Communication Learning from Raw Visual Input,Nando d Freitas,None
ICLR,2018,Auto-Conditioned Recurrent Networks for Extended Complex Human Motion Synthesis,Yi Zhou,The Ohio State University
ICLR,2018,Auto-Conditioned Recurrent Networks for Extended Complex Human Motion Synthesis,Zimo Li,University of Southern California
ICLR,2018,Auto-Conditioned Recurrent Networks for Extended Complex Human Motion Synthesis,Shuangjiu Xiao,None
ICLR,2018,Auto-Conditioned Recurrent Networks for Extended Complex Human Motion Synthesis,Chong He,None
ICLR,2018,Auto-Conditioned Recurrent Networks for Extended Complex Human Motion Synthesis,Zeng Huang,None
ICLR,2018,Auto-Conditioned Recurrent Networks for Extended Complex Human Motion Synthesis,Hao Li,Pinscreen / University of Southern California / USC Institute for Creative Technologies
ICLR,2018,Multi-Task Learning for Document Ranking and Query Suggestion,Wasi Ahmad,"University of California, Los Angeles"
ICLR,2018,Multi-Task Learning for Document Ranking and Query Suggestion,Kai-Wei Chang,UCLA
ICLR,2018,Multi-Task Learning for Document Ranking and Query Suggestion,Hongning Wang,None
ICLR,2018,Adaptive Quantization of Neural Networks,Soroosh Khoram,University of Wisconsin - Madison
ICLR,2018,Adaptive Quantization of Neural Networks,Jing Li,University of Wisconsin-Madison
ICLR,2018,Interactive Grounded Language Acquisition and Generalization in a 2D World,Haonan Yu,Baidu Research
ICLR,2018,Interactive Grounded Language Acquisition and Generalization in a 2D World,Haichao Zhang,Baidu USA
ICLR,2018,Interactive Grounded Language Acquisition and Generalization in a 2D World,Wei Xu,Baidu Research
ICLR,2018,Hyperparameter optimization: a spectral approach,Elad Hazan,Princeton University and Google Brain
ICLR,2018,Hyperparameter optimization: a spectral approach,Adam Klivans,None
ICLR,2018,Hyperparameter optimization: a spectral approach,Yang Yuan,Peking University
ICLR,2018,Deep Learning with Logged Bandit Feedback,Thorsten Joachims,Cornell University
ICLR,2018,Deep Learning with Logged Bandit Feedback,Adith Swaminathan,Microsoft Research
ICLR,2018,Deep Learning with Logged Bandit Feedback,Maarten de Rijke,University of Amsterdam
ICLR,2018,Generalizing Hamiltonian Monte Carlo with Neural Networks,Daniel Levy,Stanford University
ICLR,2018,Generalizing Hamiltonian Monte Carlo with Neural Networks,Matthew D Hoffman,Adobe
ICLR,2018,Generalizing Hamiltonian Monte Carlo with Neural Networks,Jascha Sohl-Dickstein,Google Brain
ICLR,2018,Detecting Statistical Interactions from Neural Network Weights,Michael Tsang,University of Southern California
ICLR,2018,Detecting Statistical Interactions from Neural Network Weights,Dehua Cheng,Facebook
ICLR,2018,Detecting Statistical Interactions from Neural Network Weights,Yan Liu,None
ICLR,2018,Robustness of Classifiers to Universal Perturbations: A Geometric Perspective,Seyed Moosavi Dezfooli,École polytechnique fédérale de Lausanne
ICLR,2018,Robustness of Classifiers to Universal Perturbations: A Geometric Perspective,Alhussein Fawzi,None
ICLR,2018,Robustness of Classifiers to Universal Perturbations: A Geometric Perspective,Omar Fawzi,None
ICLR,2018,Robustness of Classifiers to Universal Perturbations: A Geometric Perspective,Pascal Frossard,EPFL
ICLR,2018,Robustness of Classifiers to Universal Perturbations: A Geometric Perspective,,None
ICLR,2018,Adaptive Dropout with Rademacher Complexity Regularization,Ke Zhai,Microsoft AI & Research
ICLR,2018,Adaptive Dropout with Rademacher Complexity Regularization,Huan Wang,Salesforce Research
ICLR,2018,Mixed Precision Training,Paulius Micikevicius,None
ICLR,2018,Mixed Precision Training,SHARAN NARANG,Baidu Research
ICLR,2018,Mixed Precision Training,Jonah Alben,None
ICLR,2018,Mixed Precision Training,Gregory Diamos,None
ICLR,2018,Mixed Precision Training,Erich K Elsen,Stanford University
ICLR,2018,Mixed Precision Training,David Garcia,None
ICLR,2018,Mixed Precision Training,Boris Ginsburg,NVIDIA
ICLR,2018,Mixed Precision Training,Michael Houston,None
ICLR,2018,Mixed Precision Training,Oleksii Kuchaiev,NVIDIA
ICLR,2018,Mixed Precision Training,Ganesh Venkatesh,Intel
ICLR,2018,Mixed Precision Training,Hao Wu,None
ICLR,2018,SpectralNet: Spectral Clustering using Deep Neural Networks,Uri Shaham,"Yale University, Final Research"
ICLR,2018,SpectralNet: Spectral Clustering using Deep Neural Networks,Kelly Stanton,Yale University
ICLR,2018,SpectralNet: Spectral Clustering using Deep Neural Networks,Henry (Fangyi) Li,Yale University
ICLR,2018,SpectralNet: Spectral Clustering using Deep Neural Networks,Ronen Basri,Weizmann Institute of Science
ICLR,2018,SpectralNet: Spectral Clustering using Deep Neural Networks,Boaz Nadler,Weizmann Institute of Science
ICLR,2018,SpectralNet: Spectral Clustering using Deep Neural Networks,Yuval Kluger,None
ICLR,2018,Deep Rewiring: Training very sparse deep networks,Guillaume Bellec,TU Graz (IGI)
ICLR,2018,Deep Rewiring: Training very sparse deep networks,David Kappel,Graz University of Technology
ICLR,2018,Deep Rewiring: Training very sparse deep networks,Wolfgang Maass,None
ICLR,2018,Deep Rewiring: Training very sparse deep networks,Robert Legenstein,None
ICLR,2018,A Neural Representation of Sketch Drawings,David Ha,Google Brain
ICLR,2018,A Neural Representation of Sketch Drawings,Douglas Eck,Google Brain
ICLR,2018,Leveraging Grammar and Reinforcement Learning for Neural Program Synthesis,Rudy Bunel,University of Oxford
ICLR,2018,Leveraging Grammar and Reinforcement Learning for Neural Program Synthesis,Matthew Hausknecht,Microsoft Research
ICLR,2018,Leveraging Grammar and Reinforcement Learning for Neural Program Synthesis,Jacob Devlin,None
ICLR,2018,Leveraging Grammar and Reinforcement Learning for Neural Program Synthesis,Rishabh Singh,Google Brain
ICLR,2018,Leveraging Grammar and Reinforcement Learning for Neural Program Synthesis,Pushmeet Kohli,Microsoft
ICLR,2018,All-but-the-Top: Simple and Effective Postprocessing for Word Representations,Jiaqi Mu,University of Illinois at Urbana Champaign
ICLR,2018,All-but-the-Top: Simple and Effective Postprocessing for Word Representations,Pramod Viswanath,None
ICLR,2018,Graph Attention Networks,Petar Veličković,University of Cambridge
ICLR,2018,Graph Attention Networks,Guillem Cucurull Preixens,Computer Vision Center (Barcelona)
ICLR,2018,Graph Attention Networks,Arantxa Casanova Paga,MILA - ElementAI
ICLR,2018,Graph Attention Networks,Adriana Romero,Facebook AI Research
ICLR,2018,Graph Attention Networks,Pietro Liò,None
ICLR,2018,Graph Attention Networks,Yoshua Bengio,University of Montreal
ICLR,2018,Towards better understanding of gradient-based attribution methods for Deep Neural Networks,Marco Ancona,ETH Zurich
ICLR,2018,Towards better understanding of gradient-based attribution methods for Deep Neural Networks,Enea Ceolini,"Institute of Neuroinformatics, UZH ETH"
ICLR,2018,Towards better understanding of gradient-based attribution methods for Deep Neural Networks,Cengiz Öztireli,None
ICLR,2018,Towards better understanding of gradient-based attribution methods for Deep Neural Networks,Markus Gross,None
ICLR,2018,Critical Percolation as a Framework to Analyze the Training of Deep Networks,Zohar Ringel,Hebrew University of Jerusalem
ICLR,2018,Critical Percolation as a Framework to Analyze the Training of Deep Networks,Rodrigo Andrade de Bem,University of Oxford
ICLR,2018,Learning to Count Objects in Natural Images for Visual Question Answering,Yan Zhang,University of Southampton
ICLR,2018,Learning to Count Objects in Natural Images for Visual Question Answering,Jonathon Hare,University of Southampton
ICLR,2018,Learning to Count Objects in Natural Images for Visual Question Answering,Adam Prugel-Bennett,University of Southampton
ICLR,2018,Variational image compression with a scale hyperprior,Johannes Ballé,RWTH Aachen University
ICLR,2018,Variational image compression with a scale hyperprior,David Minnen,Google
ICLR,2018,Variational image compression with a scale hyperprior,Saurabh Singh,"University of Illinois, Urbana Champaign"
ICLR,2018,Variational image compression with a scale hyperprior,Sung Jin Hwang,Google
ICLR,2018,Variational image compression with a scale hyperprior,Nick Johnston,Iowa State University
ICLR,2018,NerveNet: Learning Structured Policy with Graph Neural Networks,Tingwu Wang,University of Toronto; Vector Institute
ICLR,2018,NerveNet: Learning Structured Policy with Graph Neural Networks,Renjie Liao,"Department of Computer Science, University of Toronto"
ICLR,2018,NerveNet: Learning Structured Policy with Graph Neural Networks,Jimmy Ba,University of Toronto
ICLR,2018,NerveNet: Learning Structured Policy with Graph Neural Networks,Sanja Fidler,
ICLR,2018,Proximal Backpropagation,Thomas Frerix,Technical University of Munich
ICLR,2018,Proximal Backpropagation,Thomas Möllenhoff,TU Munich
ICLR,2018,Proximal Backpropagation,Michael Moeller,None
ICLR,2018,Proximal Backpropagation,Daniel Cremers,None
ICLR,2018,On the Expressive Power of Overlapping Architectures of Deep Learning,Or Sharir,Hebrew University of Jerusalem
ICLR,2018,On the Expressive Power of Overlapping Architectures of Deep Learning,Amnon Shashua,Hebrew University of Jerusalem
ICLR,2018,The Implicit Bias of Gradient Descent on Separable Data,Daniel Soudry,Technion
ICLR,2018,The Implicit Bias of Gradient Descent on Separable Data,Elad Hoffer,Technion
ICLR,2018,The Implicit Bias of Gradient Descent on Separable Data,Mor Shpigel Nacson,Technion
ICLR,2018,The Implicit Bias of Gradient Descent on Separable Data,Nati Srebro,TTIC
ICLR,2018,Multi-level Residual Networks from Dynamical Systems View,Bo Chang,University of British Columbia
ICLR,2018,Multi-level Residual Networks from Dynamical Systems View,Lili Meng,University of British Columbia
ICLR,2018,Multi-level Residual Networks from Dynamical Systems View,Eldad Haber,None
ICLR,2018,Multi-level Residual Networks from Dynamical Systems View,Frederick Tung,Simon Fraser University
ICLR,2018,Multi-level Residual Networks from Dynamical Systems View,David Begert,Xtract AI
ICLR,2018,Learning Deep Mean Field Games for Modeling Large Population Behavior,Jiachen Yang,Georgia Institute of Technology
ICLR,2018,Learning Deep Mean Field Games for Modeling Large Population Behavior,Xiaojing Ye,Georgia State University
ICLR,2018,Learning Deep Mean Field Games for Modeling Large Population Behavior,Rakshit Trivedi,Georgia Institute of Technology
ICLR,2018,Learning Deep Mean Field Games for Modeling Large Population Behavior,huan xu,Georgia Institute of Technology
ICLR,2018,Learning Deep Mean Field Games for Modeling Large Population Behavior,Hongyuan Zha,Georgia Institute of Technology
